,result,table,_start,_stop,_time,_measurement,label,mobile,alpha,beta,gamma,x,y,z
81,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.660000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
82,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.677000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
83,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.693000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.1,0.0,0.0,9.9
84,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.710000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
85,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.726000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
86,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.743000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
87,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.760000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
88,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.776000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
89,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.793000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
90,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.810000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
91,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.826000+00:00,devicemotion,sitting,UnknownPhone,0.0,-0.1,0.0,0.0,0.0,9.9
92,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.843000+00:00,devicemotion,sitting,UnknownPhone,0.1,0.0,-0.1,0.0,0.0,9.9
